CustomerNo,Recency,Frequency,Monetary
12004,228,1,1509.6
12006,219,1,24.76
12008,277,1,5689.57
12013,360,1,69.96000000000001
12024,177,1,149.51999999999998
12025,288,1,1021.59
12026,340,1,20486.32
12031,71,1,136.18
12042,265,1,6296.7699999999995
12043,158,1,1235.59
12050,149,1,141.67000000000002
12057,32,2,4816.81
12063,218,1,39.33
12067,18,1,14293.33
12078,285,1,2667.2599999999998
12080,185,1,14378.82
12081,359,1,13.27
12082,298,1,32.89
12087,185,1,857.34
12089,265,1,1179.53
12090,185,1,736.23
12093,185,1,1961.44
12100,248,1,10683.71
12115,9,2,14211.470000000001
12116,166,1,2076.5099999999998
12120,166,1,454.16
12128,330,1,472.13
12130,32,1,63.56
12134,78,1,7825.83
12151,176,1,215.29
12154,339,1,9140.619999999999
12160,120,1,51.2
12161,157,1,48.53
12165,256,1,1283.18
12167,256,1,1457.46
12171,309,1,1921.96
12174,43,1,111.75
12185,50,1,8369.02
12202,71,1,6810.79
12204,239,1,544.48
12205,239,1,1016.4
12214,296,1,10198.44
12221,108,2,16948.03
12230,108,1,16299.9
12231,176,1,5513.19
12236,166,1,65.52
12240,166,1,3656.61
12242,166,2,499.9
12245,146,2,2779.77
12255,318,1,5592.11
12256,2,2,6600.63
12278,239,1,8417.1
12286,99,1,1567.91
12290,145,1,642.38
12293,201,2,1332.27
12309,37,1,12.86
12321,191,2,561.99
12324,173,3,6207.42
12325,227,1,104.32
12336,191,1,638.92
12338,215,1,825.42
12340,227,1,4866.7699999999995
12348,76,4,25377.36
12349,19,1,7951.1
12350,128,2,2371.9
12352,37,7,6811.92
12353,205,1,296.24
12354,233,1,6356.94
12355,215,1,2930.62
12356,23,4,20298.05
12358,2,3,23772.82
12359,58,4,23878.48
12360,53,3,13959.64
12361,288,1,922.62
12362,4,10,24367.78
12363,110,2,4747.08
12364,8,5,15842.75
12365,292,1,2101.83
12367,5,2,1268.6000000000001
12371,60,1,7411.53
12372,72,3,9302.48
12373,255,2,7980.55
12374,26,1,4112.9
12375,11,2,1385.9
12377,316,2,11241.34
12379,82,2,4315.0599999999995
12380,22,4,12159.37
12381,5,3,9136.37
12383,185,5,17227.829999999998
12384,29,2,1575.27
12386,338,2,4040.2999999999997
12387,208,1,5326.62
12388,16,6,16632.03
12390,80,1,4104.7
12391,22,1,3441.78
12393,73,6,8314.75
12394,64,2,9390.52
12396,263,1,6765.1
12397,36,3,15955.51
12398,46,1,15525.12
12399,120,4,12422.4
12401,304,1,124.47
12402,324,1,837.5
12403,50,1,1364.64
12405,149,1,10126.52
12406,23,2,21277.63
12407,50,5,15924.92
12408,33,5,16083.97
12410,309,2,2668.2999999999997
12411,262,1,55.24
12412,75,3,9420.63
12413,67,3,3307.89
12414,67,4,18177.6
12417,4,9,17859.88
12418,113,1,4856.91
12420,64,1,4151.1
12421,16,4,5091.65
12422,96,4,14914.25
12423,1,9,14766.41
12424,163,2,9389.81
12425,79,1,5638.98
12426,195,1,3126.61
12427,22,3,6109.77
12429,10,4,16106.1
12430,44,1,1410.68
12432,36,5,22880.21
12434,85,2,4864.51
12436,100,1,2581.38
12438,15,2,10591.5
12442,4,1,1297.84
12444,22,6,15868.42
12445,23,1,694.3199999999999
12446,58,1,4259.83
12447,244,1,2236.38
12448,45,1,2834.36
12449,23,4,18993.77
12450,157,2,1216.1399999999999
12452,17,1,1115.05
12453,135,1,5572.6
12454,57,1,13925.84
12455,74,5,23158.08
12456,45,3,19229.12
12457,67,7,9444.71
12458,72,3,14297.16
12461,155,1,3532.59
12462,19,2,6362.73
12463,11,5,8933.32
12464,11,8,1657.98
12465,18,2,5567.22
12468,188,3,15966.38
12469,292,1,615.22
12473,54,3,26438.23
12475,54,1,6077.06
12476,16,11,26116.98
12478,4,1,1547.87
12479,12,2,2706.55
12480,29,4,20048.2
12483,18,8,12931.64
12484,36,4,25515.73
12485,356,1,30.7
12488,10,3,5085.36
12489,337,1,1361.97
12491,39,2,4623.28
12492,64,2,2042.1
12493,166,2,1759.1699999999998
12494,16,7,7273.18
12497,82,1,13594.44
12498,22,3,1658.67
12501,337,1,20100.06
12502,96,5,11027.11
12504,19,2,1330.34
12505,254,1,1833.6399999999999
12506,233,1,311.08
12507,135,3,10264.7
12508,11,3,13111.33
12509,285,1,715.8399999999999
12510,143,2,4391.04
12512,67,2,1119.46
12513,113,1,4916.2
12514,268,1,5134.98
12515,155,2,1982.8799999999999
12516,78,3,15771.619999999999
12517,29,5,15647.84
12518,1,5,14202.72
12519,64,1,2046.58
12520,80,6,17015.59
12521,143,1,3386.0699999999997
12522,40,3,2198.59
12523,20,11,10556.31
12526,1,3,6572.17
12527,82,3,2598.56
12528,10,6,8395.34
12530,60,4,9013.53
12531,15,1,278.55
12532,31,2,3755.8
12534,131,1,7616.2
12535,92,2,2978.58
12537,10,1,30.950000000000003
12538,30,1,2330.8199999999997
12541,30,4,12556.41
12542,235,1,6368.8
12544,37,2,2859.79
12545,76,2,6152.54
12546,10,3,8893.83
12547,115,4,14445.15
12548,167,1,561.0
12550,47,2,14478.539999999999
12551,262,2,1759.01
12552,40,1,1196.93
12556,36,3,4448.71
12558,8,1,1213.24
12559,311,2,3418.7
12560,6,2,11335.82
12561,36,2,14040.59
12562,9,7,15925.47
12564,262,1,1625.93
12565,289,1,969.5
12566,87,1,2990.38
12571,40,2,5761.719999999999
12572,9,2,4389.56
12573,228,1,1025.38
12574,316,1,791.58
12576,36,5,11259.52
12577,36,3,5417.04
12578,22,2,14273.59
12579,79,1,3286.3199999999997
12580,247,1,2566.92
12581,40,1,1824.03
12582,239,2,3393.8
12584,4,9,5498.41
12585,235,2,14855.86
12586,18,1,1011.4300000000001
12587,8,1,309.5
12588,40,1,712.1899999999999
12589,29,2,3684.56
12591,318,1,2661.17
12592,93,2,2587.2999999999997
12593,109,3,1885.56
12594,38,9,19508.32
12596,52,2,5258.67
12597,20,4,25599.78
12598,10,7,22050.66
12599,30,7,10627.58
12600,29,10,8730.210000000001
12601,190,5,2959.09
12602,59,1,1817.46
12603,22,1,1202.32
12604,80,2,2291.92
12607,61,1,14205.029999999999
12609,79,3,7359.41
12610,5,6,18853.03
12611,53,1,9832.66
12612,75,1,3348.79
12613,58,4,19136.74
12614,278,1,1102.4099999999999
12615,3,4,14117.8
12616,96,2,3527.2
12617,30,2,8521.32
12618,22,1,1114.39
12620,15,3,10989.5
12622,233,1,801.12
12623,277,1,2029.3
12624,107,4,5678.58
12625,212,2,18357.38
12628,5,3,4386.39
12630,10,2,5082.9
12631,58,1,2870.14
12633,59,4,13137.49
12635,87,3,16535.149999999998
12638,34,1,6397.62
12639,239,1,2225.42
12641,116,1,877.1
12642,26,3,6485.5199999999995
12643,129,6,21446.16
12644,130,1,3820.88
12645,34,4,12055.24
12646,5,4,15251.15
12648,155,1,1937.06
12649,30,5,7796.43
12650,4,1,1590.7
12651,335,1,867.3
12652,199,2,6254.79
12653,149,3,11735.49
12654,11,5,2934.11
12656,18,5,17340.34
12657,12,4,8016.62
12658,19,1,3709.7
12659,30,1,1141.6000000000001
12660,12,1,779.94
12662,1,11,22606.22
12663,214,2,2710.49
12664,9,9,14394.66
12665,325,1,415.0799999999999
12666,214,1,968.33
12667,59,1,4478.9
12668,12,4,17651.64
12669,151,2,12538.32
12670,11,6,22266.5
12671,80,2,8969.15
12672,330,1,931.1999999999999
12673,6,3,7908.16
12674,39,4,13431.52
12675,214,1,1326.97
12676,25,6,7924.15
12679,59,4,6561.37
12680,1,4,4628.29
12684,8,6,21663.16
12685,29,6,16981.07
12689,26,2,6936.96
12690,60,2,8008.59
12691,29,5,4927.3
12692,152,2,295.09000000000003
12693,128,4,3080.0
12694,71,2,5936.29
12695,8,5,18421.26
12697,29,3,5842.76
12701,80,2,7591.7
12702,20,2,6977.15
12703,72,1,1942.7
12704,8,8,10975.87
12707,292,1,3242.17
12708,30,10,15745.64
12710,97,3,9460.46
12713,1,1,3270.25
12715,5,2,1938.45
12716,4,4,15550.619999999999
12717,114,3,6094.87
12718,72,2,7892.37
12719,6,2,3193.46
12721,32,6,21697.39
12722,86,4,6794.82
12723,4,5,3772.94
12724,6,4,4346.389999999999
12727,11,7,22770.58
12728,72,4,4979.25
12729,114,1,2794.86
12732,180,2,3048.2
12733,235,2,2176.9900000000002
12734,353,1,801.6
12735,316,2,4367.49
12736,333,1,1869.6
12739,100,1,5971.02
12740,64,1,3943.22
12742,34,1,46.129999999999995
12743,135,2,3751.57
12747,3,11,15438.2
12749,4,5,17525.86
12750,129,1,1686.92
12752,82,1,26757.76
12755,281,2,19184.420000000002
12756,87,1,1590.72
12758,117,2,20139.94
12759,53,3,10370.7
12760,102,1,4648.16
12761,59,1,210.39
12762,8,3,9736.92
12763,139,3,4198.93
12764,317,1,5692.32
12769,239,1,4652.2699999999995
12770,211,1,8404.06
12772,60,1,6358.97
12775,18,5,10229.43
12777,19,2,12933.12
12778,20,6,9084.33
12781,64,2,7674.44
12782,5,5,12179.67
12783,3,4,6599.9800000000005
12784,16,1,2033.17
12787,10,3,2723.08
12788,15,1,24.76
12789,66,1,109.52000000000001
12790,193,1,1983.08
12792,257,1,2556.83
12793,335,2,2665.64
12794,54,2,6768.41
12795,19,1,982.32
12796,151,1,5650.0199999999995
12802,187,1,3605.02
12803,179,1,6598.74
12808,37,3,2018.71
12809,159,2,3695.33
12810,179,1,11.98
12811,262,2,2376.45
12812,45,1,1916.0
12814,102,1,579.84
12815,148,2,4571.33
12816,96,2,1695.5
12817,102,2,6707.54
12818,262,1,10641.32
12820,4,5,12348.48
12821,215,1,812.56
12822,71,2,6060.9800000000005
12823,75,5,4160.7
12824,60,2,3327.29
12826,3,7,10393.34
12827,6,3,2154.89
12828,3,6,4974.54
12829,24,3,4609.83
12831,263,1,1603.85
12832,33,3,2429.99
12833,146,1,2026.6
12834,283,1,1447.5
12836,60,4,13141.71
12837,159,2,1576.44
12838,34,2,4327.03
12840,144,4,14072.849999999999
12842,71,2,6753.099999999999
12843,66,9,14832.05
12844,30,2,1615.17
12845,15,5,2461.6
12847,23,1,9812.86
12849,32,2,6952.42
12851,97,1,1209.21
12852,295,1,1846.66
12853,135,6,9778.98
12854,79,3,7764.93
12856,8,6,12197.39
12857,211,2,4649.38
12863,53,2,2481.81
12864,139,1,2364.84
12865,27,2,11087.98
12866,284,1,2184.52
12868,186,6,11158.25
12871,85,2,2439.66
12872,327,2,3884.21
12873,283,1,1694.88
12875,144,2,21037.98
12878,186,3,6314.089999999999
12879,45,3,4379.12
12881,276,2,1834.54
12882,10,2,2397.94
12883,25,4,2729.83
12884,89,2,5612.92
12885,64,3,7857.97
12886,68,2,9180.33
12888,215,2,1141.76
12890,25,1,2997.31
12891,186,3,10078.0
12892,212,1,30.990000000000002
12893,31,1,1016.66
12895,43,3,10016.39
12896,159,1,77.61
12897,205,2,1349.6000000000001
12900,29,1,95.1
12902,265,1,818.54
12904,19,2,3521.94
12906,12,5,18246.42
12907,178,1,46.480000000000004
12908,177,2,13068.0
12909,40,6,19483.07
12910,24,8,18642.1
12912,3,5,5512.84
12913,5,5,11059.79
12914,150,1,1668.46
12915,149,2,1325.96
12916,139,4,13748.41
12917,129,1,919.2
12919,9,6,6597.84
12920,18,2,2144.27
12922,162,1,4207.96
12923,65,1,862.53
12924,89,6,10395.74
12925,5,2,4826.72
12927,186,1,762.72
12928,36,6,20415.18
12929,52,2,535.39
12930,79,2,3008.77
12933,25,3,5731.26
12934,27,1,45.3
12935,3,7,19074.18
12936,18,5,7297.69
12937,16,5,12564.55
12938,26,1,1552.1000000000001
12940,55,2,5062.57
12942,132,3,2685.34
12944,36,2,3504.6
12945,289,1,1922.57
12947,144,6,12748.92
12948,17,7,11880.64
12950,3,3,9659.92
12951,9,7,5184.56
12952,6,4,7084.06
12953,10,1,519.96
12954,101,1,63.900000000000006
12956,307,1,459.2
12957,10,8,26663.12
12958,197,1,1263.0
12960,197,1,1140.87
12962,8,2,1224.13
12963,9,8,9224.72
12965,90,1,3643.69
12966,10,1,543.0
12967,197,3,6207.75
12968,113,1,887.5699999999999
12970,8,4,1849.15
12974,78,3,1209.68
12976,212,1,4269.66
12977,157,1,163.23000000000002
12980,158,9,16637.780000000002
12981,30,2,2742.46
12982,243,2,3405.12
12984,19,1,366.34000000000003
12985,1,3,18503.76
12986,233,1,4920.32
12987,74,3,7234.86
12988,293,1,1809.72
12990,32,3,1358.8000000000002
12991,24,2,4666.84
12993,24,5,6238.36
12994,5,3,4740.06
12995,86,1,1323.72
12997,23,4,8062.98
12999,197,3,3972.94
13000,107,3,4433.05
13002,319,1,872.2099999999999
13003,106,3,1208.3899999999999
13005,174,2,2289.5499999999997
13006,57,1,647.32
13008,324,1,1909.66
13009,228,2,2086.68
13011,240,2,225.36
13012,10,10,18194.97
13014,11,10,11952.66
13015,54,5,19753.87
13016,74,3,6210.6
13017,8,1,297.12
13021,5,9,15085.05
13023,3,4,12316.55
13024,85,2,13358.61
13025,44,2,584.84
13026,2,5,15401.16
13028,23,2,8616.18
13029,31,3,2470.7
13030,12,2,3230.9
13032,53,2,4484.72
13033,358,1,740.11
13034,55,2,4440.889999999999
13035,74,3,7583.59
13037,18,4,5146.86
13038,81,3,4621.18
13040,9,2,3244.45
13043,274,1,3132.7
13044,292,2,5141.86
13045,100,1,2268.34
13046,31,2,3235.59
13047,57,9,17560.47
13048,15,4,11061.93
13049,65,2,3420.04
13052,213,1,2632.14
13055,79,3,10228.51
13058,25,3,811.13
13059,250,1,546.64
13060,93,2,7713.34
13061,73,1,1232.0
13062,192,1,3847.0800000000004
13064,13,4,5528.51
13066,25,2,3782.84
13067,83,1,421.51
13068,11,2,1321.0
13070,193,1,866.6000000000001
13072,267,1,888.78
13075,130,1,5232.42
13076,38,1,13319.57
13077,2,4,8508.79
13079,5,5,758.1
13080,180,1,1289.52
13083,5,2,1932.58
13085,158,2,2640.2
13091,29,3,6803.04
13092,71,5,3349.11
13095,71,1,1552.44
13099,100,1,3165.12
13101,235,1,1262.04
13103,40,1,1090.42
13104,4,6,5505.24
13106,134,1,262.98
13107,45,4,14583.859999999999
13109,60,3,12083.68
13110,32,7,5483.84
13114,130,1,4215.21
13115,12,4,15665.8
13116,139,1,3496.2
13117,22,9,10889.55
13118,20,6,6517.3
13120,239,1,154.32
13121,148,2,2877.98
13122,95,2,6941.33
13124,9,4,25746.28
13126,5,8,21919.32
13127,78,1,1567.2
13130,95,1,393.56
13131,24,3,5084.24
13132,262,1,284.15999999999997
13133,274,2,440.5
13134,86,4,12201.82
13136,57,7,19605.84
13137,11,8,23332.25
13138,23,6,5834.17
13139,17,7,24825.46
13140,109,3,2322.94
13141,85,5,17413.35
13142,20,1,2959.09
13144,333,1,328.91999999999996
13145,40,4,2468.06
13146,27,1,1813.01
13147,11,4,1767.8400000000001
13149,15,5,16005.26
13151,296,1,5009.48
13153,6,2,8860.119999999999
13155,34,5,11060.81
13157,50,5,14339.41
13158,95,4,8131.84
13159,9,4,10921.77
13160,23,1,668.2399999999999
13161,314,1,412.75
13165,47,2,15150.08
13166,284,1,2641.38
13167,19,4,8716.32
13168,37,4,8074.2699999999995
13169,64,2,3519.0
13170,27,1,1556.6
13171,22,4,2955.2
13173,5,3,4835.6
13174,17,4,18338.34
13176,47,1,5019.7
13177,43,2,1236.5900000000001
13181,22,1,7804.5599999999995
13182,46,1,2184.3199999999997
13183,8,9,25382.46
13184,15,10,18023.73
13185,268,1,196.20000000000002
13186,40,3,9956.86
13187,12,2,10146.27
13188,12,1,148.56
13189,19,2,8897.2
13190,120,1,57.65
13192,96,2,6245.46
13193,62,1,586.35
13194,136,2,376.1
13196,12,4,13432.449999999999
13200,20,4,6131.54
13201,296,1,1326.91
13203,10,4,8127.89
13204,256,1,357.98
13207,16,2,1299.34
13208,60,5,9084.039999999999
13210,94,1,3601.68
13211,11,3,8311.53
13212,20,3,3949.81
13213,57,5,15496.58
13216,268,2,8512.44
13217,123,5,13335.210000000001
13218,128,1,966.36
13219,330,1,14619.619999999999
13220,79,4,2767.96
13221,241,2,3356.42
13222,57,1,45.35
13223,201,2,1069.16
13224,61,2,16650.02
13226,274,1,930.9
13227,202,1,972.84
13228,82,1,1208.0
13229,226,1,810.66
13232,13,8,17678.91
13233,75,3,16436.06
13235,213,1,5204.71
13236,25,2,5026.91
13237,184,1,7817.68
13238,18,5,4491.99
13239,262,1,4058.5
13240,97,4,3694.87
13242,113,3,804.7
13243,204,1,2915.42
13244,93,1,514.23
13245,51,1,1722.4099999999999
13246,19,6,17847.61
13247,18,4,3792.29
13248,125,2,3541.56
13249,93,3,6327.38
13252,318,1,1402.33
13253,157,2,17170.12
13255,10,2,1773.47
13258,12,4,8999.99
13259,62,1,1581.6299999999999
13260,62,1,2026.96
13261,269,2,3120.14
13262,264,1,1486.55
13264,129,1,5078.23
13265,54,5,19981.21
13271,38,1,2676.7400000000002
13272,32,2,1267.48
13273,114,1,1710.81
13275,192,1,6429.13
13276,64,2,2255.86
13277,16,4,1381.84
13278,41,1,5549.74
13279,79,1,889.36
13280,123,3,5345.2
13282,19,3,4125.26
13283,60,2,894.52
13284,331,1,980.8
13285,24,4,21062.03
13291,156,1,2579.19
13292,39,3,4769.99
13294,145,3,5591.56
13295,360,1,1046.54
13296,138,1,889.08
13297,8,5,10774.779999999999
13298,2,1,594.24
13299,269,1,453.48
13300,170,1,2218.64
13301,104,4,4130.51
13302,156,1,116.6
13304,156,2,2735.76
13305,5,10,13825.789999999999
13307,121,1,56.36
13308,23,3,10061.61
13309,8,5,14579.47
13310,29,3,7176.29
13311,5,3,3519.0299999999997
13313,23,5,8535.44
13314,2,3,5576.62
13317,67,6,12504.64
13318,2,3,2903.18
13320,79,4,11447.55
13321,73,2,4395.12
13322,18,2,2023.58
13323,4,5,1764.15
13325,82,2,3105.25
13327,39,8,16047.16
13328,317,1,8071.76
13329,32,2,5553.78
13330,93,3,7116.13
13332,15,1,1274.24
13334,83,3,20566.2
13336,78,1,6305.32
13337,358,1,3977.2
13338,156,2,13274.69
13339,201,1,4222.7699999999995
13341,261,1,3760.96
13343,178,1,1500.91
13344,68,4,17184.079999999998
13345,288,2,5394.37
13347,71,1,2389.56
13348,65,1,1633.34
13349,11,1,1381.16
13350,17,2,2992.7400000000002
13351,67,1,1459.01
13352,61,2,13346.67
13354,72,1,6952.64
13355,123,1,3122.68
13356,81,1,3812.37
13357,258,1,3914.77
13358,269,1,3260.59
13359,64,1,2039.09
13362,10,4,15072.1
13363,18,2,8171.7
13364,72,1,848.16
13365,34,3,14864.41
13366,51,1,1533.6000000000001
13367,8,1,11964.890000000001
13368,257,3,5573.13
13371,165,1,11074.7
13372,90,1,1956.3
13373,61,3,20133.09
13375,89,1,5147.32
13376,100,3,5312.2699999999995
13378,99,1,7752.33
13379,27,3,6514.099999999999
13381,32,6,24527.7
13382,281,1,1571.11
13384,31,7,26053.42
13385,330,1,3427.87
13388,132,3,9160.07
13389,12,3,4538.74
13390,75,1,2853.4
13391,204,1,102.28
13394,2,8,26096.45
13395,186,1,3759.12
13396,30,3,12485.63
13397,73,6,11795.12
13398,193,1,3349.07
13399,305,1,3677.87
13402,128,2,5545.88
13403,18,1,269.72
13404,2,2,1324.76
13405,205,2,2241.89
13410,25,5,6337.44
13411,108,2,1007.69
13414,134,3,17512.93
13416,44,2,2185.9
13417,5,2,1553.02
13419,64,1,2921.36
13420,150,2,1199.12
13421,41,2,12617.1
13422,65,1,15547.24
13423,327,1,15478.34
13425,109,4,12496.18
13426,1,10,25893.59
13427,20,4,6234.22
13428,11,1,955.22
13429,11,4,13791.640000000001
13430,19,2,8393.26
13431,68,3,7744.66
13433,183,1,3696.4399999999996
13434,75,2,3623.04
13435,6,7,24028.86
13436,2,1,516.64
13439,116,2,12406.88
13441,92,2,2405.4
13447,24,3,7142.8
13448,17,6,17559.44
13449,24,1,2512.68
13450,27,6,22410.28
13452,260,2,1321.24
13453,166,2,1739.22
13455,25,2,4466.2699999999995
13456,18,6,8572.27
13459,183,1,4795.89
13460,30,3,3252.92
13461,39,3,11554.54
13462,253,1,790.7
13464,59,2,10783.94
13466,185,1,2970.18
13467,11,4,11238.59
13470,100,3,7846.5199999999995
13471,2,5,22600.13
13472,61,1,65.7
13473,61,2,3159.7999999999997
13474,237,1,1520.03
13475,192,4,11800.949999999999
13476,179,2,6521.47
13477,38,6,11831.24
13479,201,2,1681.9
13481,46,5,11898.92
13482,173,2,2005.85
13483,66,1,1783.78
13484,242,1,772.7
13485,234,1,3183.69
13486,79,3,8007.0
13487,58,3,3244.08
13489,20,5,6712.97
13490,155,1,23.02
13491,52,10,10501.9
13492,137,4,4909.45
13493,276,3,10879.85
13494,155,4,4058.79
13495,8,5,9963.32
13496,11,3,10363.97
13497,60,3,2051.13
13499,18,6,17528.56
13500,24,3,7437.54
13501,173,2,7241.07
13502,17,3,2312.3
13503,72,1,2584.17
13504,65,1,2127.65
13506,155,4,15792.119999999999
13507,4,4,16866.39
13508,244,2,1449.1399999999999
13509,9,6,11667.43
13510,2,5,19800.96
13512,261,1,1723.29
13513,127,1,1327.34
13514,74,2,6264.92
13515,73,4,7713.76
13516,22,4,13748.699999999999
13517,60,3,16036.08
13518,86,2,5140.0599999999995
13519,6,3,6267.450000000001
13520,59,6,19120.26
13521,2,3,4574.24
13522,31,1,579.96
13523,34,5,21771.35
13524,41,5,3966.46
13525,15,2,3574.0600000000004
13527,34,7,19536.53
13529,79,2,1014.1
13531,20,3,10769.03
13532,34,1,1537.67
13533,183,4,4456.5199999999995
13535,207,1,5632.43
13536,2,7,21177.010000000002
13538,44,8,3296.2000000000003
13539,80,4,3963.82
13540,40,1,31.27
13543,207,1,1492.03
13544,40,2,1414.51
13546,13,3,3586.38
13548,97,2,5139.2
13549,26,7,5410.69
13551,320,1,168.06
13557,29,2,6195.0
13558,6,4,3568.29
13560,8,1,387.27
13561,216,1,983.93
13562,82,4,8315.33
13563,85,2,2852.23
13564,355,2,7284.24
13565,20,2,2009.1599999999999
13566,41,2,6572.0
13567,144,1,10675.93
13568,174,1,868.12
13569,18,3,1893.52
13570,244,1,1895.54
13572,206,1,6891.25
13573,51,2,3392.27
13575,24,5,4815.05
13577,26,4,7924.889999999999
13579,15,2,1444.96
13581,281,2,3557.92
13583,156,1,8109.92
13584,307,1,519.07
13586,243,1,6336.13
13587,64,1,1970.6000000000001
13589,15,2,975.82
13590,12,6,17411.9
13591,65,4,5573.74
13592,36,5,8651.08
13593,109,5,9431.21
13594,53,1,3817.27
13596,6,2,2477.9700000000003
13598,48,1,666.01
13600,313,1,3547.16
13601,46,2,6252.87
13602,65,1,2992.88
13603,27,2,6386.03
13604,253,1,205.78
13606,30,3,3112.49
13607,41,1,3638.08
13610,13,7,5760.3
13611,90,3,8911.48
13612,5,1,5521.15
13614,25,4,7391.2
13615,319,1,2316.02
13617,41,3,3632.36
13618,174,1,2702.9
13621,117,1,3734.88
13623,31,5,3664.74
13626,253,1,2406.02
13627,60,5,14686.55
13630,6,7,15566.72
13631,100,11,7933.28
13632,25,5,12463.09
13634,34,5,8482.22
13635,68,1,7967.49
13636,37,6,13019.95
13637,53,3,4571.04
13638,16,1,575.6700000000001
13639,75,1,9258.5
13640,235,1,38.07
13642,216,1,1855.79
13643,32,4,2573.45
13644,17,4,21144.07
13645,121,1,1877.86
13647,10,4,8681.68
13648,270,1,5875.95
13649,257,3,2753.79
13650,17,6,9847.57
13651,40,2,1213.33
13652,46,3,6927.07
13653,199,1,60.14
13654,44,7,25071.95
13655,115,2,6857.96
13656,165,2,5291.66
13657,11,2,1974.52
13658,10,5,10373.48
13659,206,2,10581.94
13660,302,1,4111.8
13662,86,4,7335.469999999999
13663,180,1,1126.96
13666,61,4,16581.05
13667,150,1,1833.67
13669,51,2,2653.04
13670,76,2,4541.82
13672,214,3,1852.25
13673,19,2,1565.46
13674,80,1,22.24
13675,152,2,3881.14
13678,152,1,9707.6
13680,2,4,19368.73
13681,18,5,5673.52
13682,188,1,163.51999999999998
13684,286,1,456.21
13686,183,1,791.1999999999999
13687,114,1,30.950000000000003
13689,64,2,4322.75
13690,60,1,863.2
13691,134,1,249.9
13692,25,3,14090.789999999999
13697,39,1,1969.32
13699,156,1,992.76
13700,27,10,25683.71
13703,319,1,204.5
13704,6,9,17522.69
13705,8,3,3739.41
13706,303,1,2276.31
13707,268,2,4424.22
13708,272,1,3293.88
13710,32,1,1988.72
13711,219,2,1693.32
13712,247,1,3842.82
13713,213,1,60.309999999999995
13714,278,1,1071.76
13715,282,5,6489.389999999999
13716,73,2,5507.2
13717,33,7,26411.5
13718,247,2,2087.2799999999997
13719,16,6,14928.81
13720,117,4,5905.77
13721,37,1,3776.0499999999997
13722,132,3,16069.5
13723,218,1,645.54
13725,50,9,16475.46
13726,39,2,11849.18
13727,29,2,2002.1499999999999
13728,37,6,5735.32
13730,136,2,5713.42
13731,220,2,3474.97
13732,29,1,5607.86
13735,25,5,15504.619999999999
13736,6,2,4368.36
13737,201,1,1629.1200000000001
13739,19,1,775.62
13740,241,1,4715.7300000000005
13741,72,3,2919.33
13743,3,8,18820.77
13744,96,2,12925.78
13745,163,1,5391.32
13746,15,2,9072.800000000001
13747,354,2,390.75
13748,96,5,5470.82
13751,289,2,1296.44
13752,125,6,10122.32
13753,288,1,6007.46
13754,4,3,9512.27
13755,4,10,15648.68
